Security,.SPXPE U Index                                                  
Start Date,1/31/1990 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
7/7/1993,15.8043
7/6/1993,15.7595
7/2/1993,15.9273
7/1/1993,16.0046
6/30/1993,16.2483
6/29/1993,16.5196
6/28/1993,16.5188
6/25/1993,16.3451
6/24/1993,16.2751
6/23/1993,16.1475
6/22/1993,16.2499
6/21/1993,16.225
6/18/1993,16.133
6/17/1993,16.2916
6/16/1993,16.255
6/15/1993,16.1991
6/14/1993,16.2317
6/11/1993,16.2256
6/10/1993,16.1219
6/9/1993,16.1319
6/8/1993,16.0899
6/7/1993,16.1971
6/4/1993,16.1678
6/3/1993,16.2464
6/2/1993,16.2941
6/1/1993,16.2957
5/28/1993,16.2018
5/27/1993,16.3908
5/26/1993,16.4283
5/25/1993,16.1869
5/24/1993,16.1715
5/21/1993,16.0995
5/20/1993,16.2612
5/19/1993,16.1419
5/18/1993,15.88
5/17/1993,15.8966
5/14/1993,15.863
5/13/1993,15.8139
5/12/1993,16.0175
5/11/1993,16.0127
5/10/1993,15.955
5/7/1993,15.9339
5/6/1993,15.9516
5/5/1993,15.9947
5/4/1993,15.9553
5/3/1993,15.9022
4/30/1993,15.785
4/29/1993,15.7244
4/28/1993,15.6832
4/27/1993,15.7012
4/26/1993,15.5323
4/23/1993,15.6449
4/22/1993,15.712
4/21/1993,15.8806
4/20/1993,15.9274
4/19/1993,15.9867
4/16/1993,16.0377
4/15/1993,15.9936
4/14/1993,16.0023
4/13/1993,16.0109
4/12/1993,15.982
4/8/1993,15.6885
4/7/1993,15.732
4/6/1993,15.6902
4/5/1993,15.7495
4/2/1993,15.7234
4/1/1993,15.9571
3/31/1993,16.0225
3/30/1993,16.1281
3/29/1993,16.069
3/26/1993,15.9617
3/25/1993,16.0253
3/24/1993,15.9217
3/23/1993,15.948
3/22/1993,15.9457
3/19/1993,15.9754
3/18/1993,16.0157
3/17/1993,15.8983
3/16/1993,16.0113
3/15/1993,16.0128
3/12/1993,15.9728
3/11/1993,16.0839
3/10/1993,16.1837
3/9/1993,16.0993
3/8/1993,16.1215
3/5/1993,15.8127
3/4/1993,15.8323
3/3/1993,15.903
3/2/1993,15.8693
3/1/1993,15.659
2/26/1993,15.6448
2/25/1993,15.5917
2/24/1993,15.5492
2/23/1993,15.3366
2/22/1993,15.3572
2/19/1993,15.3105
2/18/1993,15.2166
2/17/1993,15.2683
2/16/1993,15.2949
2/12/1993,15.651
2/11/1993,15.7384
2/10/1993,15.6876
2/9/1993,15.652
2/8/1993,15.7369
2/5/1993,15.7815
2/4/1993,15.7313
2/3/1993,15.6464
2/2/1993,15.4975
2/1/1993,15.5002
1/29/1993,15.4688
1/28/1993,15.4149
1/27/1993,15.3881
1/26/1993,15.4648
1/25/1993,15.4819
1/22/1993,15.328
1/21/1993,15.2631
1/20/1993,15.1985
1/19/1993,15.2596
1/18/1993,15.3063
1/15/1993,15.3349
1/14/1993,15.272
1/13/1993,15.181
1/12/1993,15.11
1/11/1993,15.0959
1/8/1993,15.0301
1/7/1993,15.0333
1/6/1993,15.1667
1/5/1993,15.184
1/4/1993,15.2372
12/31/1992,18.2512
12/30/1992,18.5335
12/29/1992,18.4994
12/28/1992,18.5604
12/24/1992,18.5652
12/23/1992,18.5328
12/22/1992,18.5916
12/21/1992,18.5538
12/18/1992,18.5467
12/17/1992,18.2173
12/16/1992,18.0484
12/15/1992,18.0962
12/14/1992,18.1068
12/11/1992,18.1448
12/10/1992,18.1271
12/9/1992,18.1642
12/8/1992,18.2105
12/7/1992,18.1352
12/4/1992,18.0067
12/3/1992,17.8594
12/2/1992,17.8623
12/1/1992,17.8984
11/30/1992,17.9361
11/27/1992,17.9366
11/25/1992,17.863
11/24/1992,17.8069
11/23/1992,17.7083
11/20/1992,17.7729
11/19/1992,17.6153
11/18/1992,17.5771
11/17/1992,17.421
11/16/1992,17.4645
11/13/1992,17.4887
11/12/1992,17.468
11/11/1992,17.4492
11/10/1992,17.3015
11/9/1992,17.3011
11/6/1992,17.2568
11/5/1992,17.2407
11/4/1992,17.1987
11/3/1992,17.3173
11/2/1992,17.4414
10/30/1992,17.3202
10/29/1992,17.3432
10/28/1992,17.3193
10/27/1992,17.2503
10/26/1992,17.2221
10/23/1992,17.0524
10/22/1992,17.0065
10/21/1992,17.0554
10/20/1992,17.0539
10/19/1992,17.0451
10/16/1992,16.9177
10/15/1992,16.7633
10/14/1992,16.7588
10/13/1992,16.7488
10/12/1992,16.667
10/9/1992,16.48
10/8/1992,16.6258
10/7/1992,16.4607
10/6/1992,16.576
10/5/1992,16.6074
10/2/1992,16.7202
10/1/1992,16.8754
9/30/1992,17.0102
9/29/1992,17.0165
9/28/1992,17.0193
9/25/1992,16.9064
9/24/1992,17.0229
9/23/1992,17.0017
9/22/1992,16.9816
9/21/1992,17.1825
9/18/1992,17.2147
9/17/1992,17.0284
9/16/1992,17.0335
9/15/1992,16.9946
9/14/1992,17.2161
9/11/1992,16.9866
9/10/1992,16.9863
9/9/1992,16.8549
9/8/1992,16.7736
9/4/1992,16.8717
9/3/1992,16.8267
9/2/1992,16.8234
9/1/1992,16.7524
8/31/1992,16.6551
8/28/1992,16.7023
8/27/1992,16.6023
8/26/1992,16.6114
8/25/1992,16.5389
8/24/1992,16.4923
8/21/1992,16.6555
8/20/1992,16.7771
8/19/1992,16.7591
8/18/1992,16.8806
8/17/1992,16.847
8/14/1992,16.814
8/13/1992,16.6959
8/12/1992,16.6959
8/11/1992,16.7374
8/10/1992,16.7555
8/7/1992,16.7333
8/6/1992,16.7583
8/5/1992,16.8124
8/4/1992,16.8998
8/3/1992,16.9199
7/31/1992,16.892
7/30/1992,16.8133
7/29/1992,16.7496
7/28/1992,16.5621
7/27/1992,16.3328
7/24/1992,16.3333
7/23/1992,16.3145
7/22/1992,16.2654
7/21/1992,16.3804
7/20/1992,16.3755
7/17/1992,16.4475
7/16/1992,16.4968
7/15/1992,16.479
7/14/1992,16.4968
7/13/1992,16.3843
7/10/1992,16.3806
7/9/1992,16.3548
7/8/1992,16.2017
7/7/1992,16.153
7/6/1992,16.3403
7/2/1992,16.1943
7/1/1992,16.2135
6/30/1992,16.1226
6/29/1992,16.6369
6/26/1992,16.4131
6/25/1992,16.3737
6/24/1992,16.4036
6/23/1992,16.4235
6/22/1992,16.4035
6/19/1992,16.3909
6/18/1992,15.9795
6/17/1992,16.0185
6/16/1992,16.2496
6/15/1992,16.3287
6/12/1992,16.2115
6/11/1992,16.1634
6/10/1992,16.027
6/9/1992,16.0494
6/8/1992,16.1704
6/5/1992,16.115
6/4/1992,16.0938
6/3/1992,16.1591
6/2/1992,16.1002
6/1/1992,16.256
5/29/1992,16.1438
5/28/1992,16.582
5/27/1992,16.3932
5/26/1992,16.3603
5/22/1992,16.2753
5/21/1992,16.2122
5/20/1992,16.3141
5/19/1992,16.3529
5/18/1992,16.2008
5/15/1992,16.0231
5/14/1992,16.1278
5/13/1992,16.2674
5/12/1992,16.2583
5/11/1992,16.242
5/8/1992,16.1248
5/7/1992,16.1027
5/6/1992,16.131
5/5/1992,16.1417
5/4/1992,16.1475
5/1/1992,15.9696
4/30/1992,16.0707
4/29/1992,16.1
4/28/1992,15.9834
4/27/1992,15.9451
4/24/1992,15.9425
4/23/1992,16.0231
4/22/1992,15.9513
4/21/1992,15.9776
4/20/1992,15.9695
4/16/1992,16.1854
4/15/1992,16.2136
4/14/1992,16.0572
4/13/1992,15.8128
4/10/1992,15.7453
4/9/1992,15.5657
4/8/1992,15.2862
4/7/1992,15.4066
4/6/1992,15.7152
4/3/1992,15.5599
4/2/1992,15.443
4/1/1992,15.5871
3/31/1992,15.5548
3/30/1992,15.5707
3/27/1992,15.5963
3/26/1992,15.7436
3/25/1992,15.7223
3/24/1992,15.7821
3/23/1992,15.8037
3/20/1992,15.8557
3/19/1992,15.7682
3/18/1992,15.7531
3/17/1992,15.7877
3/16/1992,15.6664
3/13/1992,15.6403
3/12/1992,15.5374
3/11/1992,15.5353
3/10/1992,15.641
3/9/1992,15.5612
3/6/1992,15.5121
3/5/1992,15.543
3/4/1992,15.6411
3/3/1992,15.7868
3/2/1992,15.7778
2/28/1992,15.7917
2/27/1992,15.826
2/26/1992,15.8929
2/25/1992,15.7016
2/24/1992,15.7554
2/21/1992,15.7178
2/20/1992,15.7884
2/19/1992,15.5646
2/18/1992,15.5258
2/14/1992,15.7337
2/13/1992,15.7563
2/12/1992,15.895
2/11/1992,15.7722
2/10/1992,15.7538
2/7/1992,15.6529
2/6/1992,15.6991
2/5/1992,15.7091
2/4/1992,15.7127
2/3/1992,15.5513
1/31/1992,15.6679
1/30/1992,15.7512
1/29/1992,15.6852
1/28/1992,15.8663
1/27/1992,15.861
1/24/1992,15.888
1/23/1992,15.7762
1/22/1992,15.8877
1/21/1992,15.6724
1/20/1992,15.8099
1/17/1992,15.9025
1/16/1992,15.7905
1/15/1992,15.9105
1/14/1992,15.9361
1/13/1992,15.7086
1/10/1992,15.742
1/9/1992,15.7565
1/8/1992,15.7767
1/7/1992,15.7459
1/6/1992,15.7608
1/3/1992,15.8306
1/2/1992,15.6035
12/31/1991,18.7297
12/30/1991,18.7781
12/27/1991,18.3831
12/26/1991,18.276
12/24/1991,18.0062
12/23/1991,17.8609
12/20/1991,17.4216
12/19/1991,17.15
12/18/1991,17.1759
12/17/1991,17.1349
12/16/1991,17.1556
12/13/1991,17.1426
12/12/1991,16.9744
12/11/1991,16.8084
12/10/1991,16.8078
