Security,.STRATOPT U Index                                               
Start Date,4/16/1999 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
1/18/2018,4.1447
1/17/2018,3.9764
1/16/2018,4.9553
1/12/2018,4.5854
1/11/2018,4.5325
1/10/2018,5.2678
1/9/2018,5.1507
1/8/2018,5.2877
1/5/2018,4.8065
1/4/2018,5.5437
1/3/2018,5.9689
1/2/2018,6.647
12/29/2017,7.5325
12/28/2017,6.9752
12/27/2017,7.1713
12/26/2017,7.2561
12/22/2017,7.1426
12/21/2017,-5.0127
12/20/2017,-4.8241
12/19/2017,-4.9029
12/18/2017,-5.2101
12/15/2017,-4.7018
12/14/2017,-3.8465
12/13/2017,-4.2379
12/12/2017,-4.2832
12/11/2017,-4.135
12/8/2017,-3.828
12/7/2017,-3.2985
12/6/2017,-3.0149
12/5/2017,-3.026
12/4/2017,-3.3886
12/1/2017,-3.4902
11/30/2017,-3.6856
11/29/2017,-2.8967
11/28/2017,-2.9326
11/27/2017,-1.9766
11/24/2017,-2.0143
11/22/2017,-1.8128
11/21/2017,-2.8868
11/20/2017,-2.2516
11/17/2017,-2.1269
11/16/2017,-2.3839
11/15/2017,-1.5839
11/14/2017,-2.1277
11/13/2017,-2.3537
11/10/2017,-2.2577
11/9/2017,-2.3454
11/8/2017,-2.7128
11/7/2017,-2.5723
11/6/2017,-2.5908
11/3/2017,-2.4669
11/2/2017,-2.1649
11/1/2017,-2.1463
10/31/2017,-1.9905
10/30/2017,-1.8979
10/27/2017,-2.2111
10/26/2017,-1.4217
10/25/2017,-1.2964
10/24/2017,-1.7566
10/23/2017,-1.5977
10/20/2017,-1.9886
10/19/2017,-1.4871
10/18/2017,-1.4548
10/17/2017,-2.2412
10/16/2017,-2.1754
10/13/2017,-2.0042
10/12/2017,-1.9181
10/11/2017,-2.0836
10/10/2017,-1.907
10/9/2017,-1.6792
10/6/2017,-1.8566
10/5/2017,-1.9619
10/4/2017,-1.4083
10/3/2017,-1.2854
10/2/2017,-1.0723
9/29/2017,-0.6891
9/28/2017,-0.3211
9/27/2017,-0.201
9/26/2017,0.2067
9/25/2017,0.2139
9/22/2017,-0.0088
9/21/2017,0.056
9/20/2017,-0.2488
9/19/2017,-0.1855
9/18/2017,-0.0747
9/15/2017,0.0708
