Security,CDSPHRAV Index                                                  ,
Start Date,1/2/2003 0:00,
End Date,5/18/2021 0:00,
Period,D,
Currency,CNY,
,,
Date,PX_LAST,CHG_NET_1D
6/5/2018,4254,-11
6/4/2018,4265,0
6/1/2018,4265,22
5/31/2018,4243,10
5/30/2018,4233,20
5/29/2018,4213,4
5/28/2018,4209,6
5/25/2018,4203,18
5/24/2018,4185,-9
5/23/2018,4194,-17
5/22/2018,4211,-11
5/21/2018,4222,7
5/18/2018,4215,4
5/17/2018,4211,9
5/16/2018,4202,7
5/15/2018,4195,6
5/14/2018,4189,28
5/11/2018,4161,14
5/10/2018,4147,-3
5/9/2018,4150,-24
5/8/2018,4174,0
5/7/2018,4174,-6
5/4/2018,4180,-24
5/3/2018,4204,-9
5/2/2018,4213,101
4/27/2018,4112,-2
4/26/2018,4114,-11
4/25/2018,4125,-14
4/24/2018,4139,40
4/23/2018,4099,57
4/20/2018,4042,2
4/19/2018,4040,29
4/18/2018,4011,49
4/17/2018,3962,-9
4/16/2018,3971,19
4/13/2018,3952,3
4/12/2018,3949,-8
4/11/2018,3957,31
4/10/2018,3926,0
4/9/2018,3926,14
4/4/2018,3912,-13
4/3/2018,3925,-7
4/2/2018,3932,88
3/30/2018,3844,17
3/29/2018,3827,-19
3/28/2018,3846,27
3/27/2018,3819,9
3/26/2018,3810,-58
3/23/2018,3868,-105
3/22/2018,3973,-10
3/21/2018,3983,-22
3/20/2018,4005,-18
3/19/2018,4023,-15
3/16/2018,4038,19
3/15/2018,4019,26
3/14/2018,3993,-29
3/13/2018,4022,-6
3/12/2018,4028,-12
3/9/2018,4040,-57
3/8/2018,4097,-40
3/7/2018,4137,-18
3/6/2018,4155,-29
3/5/2018,4184,-18
3/2/2018,4202,-13
3/1/2018,4215,5
2/28/2018,4210,-5
2/27/2018,4215,6
2/26/2018,4209,103
2/9/2018,4106,0
2/8/2018,4106,2
2/7/2018,4104,0
2/6/2018,4104,5
2/5/2018,4099,10
2/2/2018,4089,16
2/1/2018,4073,-26
1/31/2018,4099,0
1/30/2018,4099,21
1/29/2018,4078,-11
1/26/2018,4089,2
1/25/2018,4087,9
