Start Date,1/10/2000,,,
End Date,,,,
,,,,
SPX Index,5 day,20 day,50 day,200 day
Dates,SMAVG,SMAVG,SMAVG,SMAVG
5/4/2001,1259.704,1153.822,1214.4238,1359.55425
5/7/2001,1262.514,1160.4,1212.4526,1358.47505
5/8/2001,1261.466,1166.67,1210.4944,1357.4588
5/9/2001,1259.088,1170.8965,1208.331,1356.29725
5/10/2001,1260.408,1173.7355,1206.2252,1354.9501
5/11/2001,1256.22,1176.0645,1204.194,1353.71575
5/14/2001,1253.302,1180.126,1202.5084,1352.48395
5/15/2001,1250.95,1185.381,1201.251,1351.2846
5/16/2001,1256.84,1189.8375,1199.708,1350.0527
5/17/2001,1263.502,1195.866,1199.0062,1348.835
5/18/2001,1272.76,1203.9145,1198.776,1347.6197
5/21/2001,1285.542,1211.181,1198.6422,1346.3939
5/22/2001,1297.53,1216.9395,1198.918,1345.31715
5/23/2001,1298.342,1223.6935,1199.271,1344.15685
5/24/2001,1299.278,1229.874,1199.142,1343.0619
5/25/2001,1296.464,1234.232,1199.094,1342.01815
5/29/2001,1287.484,1238.6965,1199.3988,1340.9217
5/30/2001,1275.224,1241.805,1199.4876,1339.88795
5/31/2001,1268.578,1245.267,1199.7824,1338.88445
6/1/2001,1262.078,1248.1485,1199.943,1338.0322
6/4/2001,1259.922,1250.49,1200.5668,1337.303
6/5/2001,1263.05,1252.2295,1201.0988,1336.55495
6/6/2001,1267.44,1254.6785,1201.6432,1335.82125
6/7/2001,1271.668,1259.102,1203.2314,1335.1226
6/8/2001,1272.526,1264.0975,1205.8158,1334.35485
6/11/2001,1269.982,1267.1125,1207.6436,1333.4035
6/12/2001,1264.438,1270.045,1210.1728,1332.45535
6/13/2001,1258.752,1271.287,1212.2594,1331.48045
6/14/2001,1247.334,#N/A N/A,#N/A N/A,#N/A N/A
6/15/2001,1237.214,1272.2105,1214.6074,1330.51885
6/18/2001,1228.022,1271.2925,1216.1528,1329.40005
6/19/2001,1219.368,1270.712,1218.4168,1328.22135
6/20/2001,1215.676,1271.3165,1221.1874,1327.10255
6/21/2001,1219.11,1271.3415,1224.178,1326.03885
6/22/2001,1221.308,1272.3445,1227.0528,1324.97635
6/25/2001,1223.342,1272.786,1229.3996,1323.8679
6/26/2001,1224.178,1273.857,1231.2954,1322.7553
6/27/2001,1221.764,1274.346,1233.5288,1321.58945
6/28/2001,1219.596,1274.782,1235.6576,1320.33155
6/29/2001,1219.41,1275.1285,1237.568,1319.06925
7/2/2001,1223.032,1274.7365,1239.4826,1317.745
7/3/2001,1226.57,1271.4805,1241.7508,1316.2739
7/5/2001,1228.204,1267.774,1243.973,1314.7965
7/6/2001,1221.082,1263.5975,1245.1128,1313.3257
7/9/2001,1215.954,1258.585,1246.7958,1311.8002
7/10/2001,1204.916,1254.273,1248.5068,1310.31205
7/11/2001,1194.062,1251.6725,1249.88,1308.96185
7/12/2001,1191.842,1248.2815,1251.0692,1307.62735
7/13/2001,1196.86,1245.317,1251.7712,1306.2078
7/16/2001,1197.594,1242.7585,1252.5128,1304.8191
7/17/2001,1204.178,1240.908,1252.898,1303.42815
7/18/2001,1209.684,1239.427,1252.6588,1302.1492
7/19/2001,1211.06,1237.6145,1252.0732,1300.84675
7/20/2001,1210.094,1236.0945,1251.9478,1299.62595
7/23/2001,1207.81,1233.6385,1252.1496,1298.46915
7/24/2001,1199.252,#N/A N/A,#N/A N/A,#N/A N/A
7/25/2001,1195.808,1231.099,1252.345,1297.3428
7/26/2001,1193.39,1226.7805,1251.5818,1295.99625
7/27/2001,1192.384,1223.4715,1250.867,1294.73345
7/30/2001,1195.082,1219.828,1249.4364,1293.3958
7/31/2001,1202.998,1216.0445,1248.0508,1292.0531
8/1/2001,1208.086,1214.3715,1246.8848,1290.89865
8/2/2001,1211.65,1214.162,1245.8498,1289.841
8/3/2001,1213.356,1213.5665,1244.9272,1288.7204
8/6/2001,1212.548,1213.867,1243.8838,1287.50115
8/7/2001,1211.182,1213.6235,1242.7678,1286.35715
8/8/2001,1204.702,1213.2175,1241.8442,1285.2511
8/9/2001,1197.238,1211.908,1240.9504,1284.17305
8/10/2001,1192.4,1210.192,1239.6674,1282.9566
8/13/2001,1190.562,1207.8445,1238.187,1281.63345
8/14/2001,1187.028,1206.531,1237.0184,1280.54095
8/15/2001,1185.926,1206.124,1236.0882,1279.54545
8/16/2001,1185.572,1205.105,1234.5048,1278.63945
8/17/2001,1179.934,1204.11,1232.8254,1277.8391
8/20/2001,1175.958,1202.836,1231.2108,1277.24635
8/21/2001,1170.064,1201.91,1229.2728,1276.45515
8/22/2001,1167.522,1201.9855,1227.5002,1275.6858
8/23/2001,1163.608,1203.1735,1226.0062,1275.0077
8/24/2001,1168.2,1203.2585,1224.1524,1274.29945
8/27/2001,1169.76,1204.4025,1222.6826,1273.37765
8/28/2001,1170.61,1204.57,1220.9946,1272.31065
8/29/2001,1167.268,1203.3345,1219.7016,1271.2489
8/30/2001,1160.656,1202.0585,1218.3884,1270.20905
8/31/2001,1150.386,1201.5005,1217.0008,1269.341
9/4/2001,1141.132,1200.115,1215.3932,1268.45245
9/5/2001,1135.178,1198.6305,1213.2822,1267.44465
9/6/2001,1126.738,1196.9625,1211.5148,1266.35965
9/7/2001,1118.088,1194.5185,1209.215,1265.0225
9/10/2001,1109.88,1193.5375,1207.344,1263.77345
