Security,.SPXCARRY U Index                                               
Start Date,5/18/2001 0:00
End Date,5/14/2021 0:00
Period,W
,
Date,PX_LAST
2/1/2008,1.2385
1/25/2008,7.7555
1/18/2008,6.5825
1/11/2008,4.5141
1/4/2008,2.191
12/28/2007,-0.4183
12/21/2007,-4.5281
12/14/2007,-1.0715
12/7/2007,-3.4688
11/30/2007,-0.9905
11/23/2007,3.8948
11/16/2007,5.2369
11/9/2007,10.8197
11/2/2007,7.888
10/26/2007,4.4592
10/19/2007,7.8316
10/12/2007,3.6055
10/5/2007,-0.5796
9/28/2007,0.5928
9/21/2007,-1.0628
9/14/2007,3.1094
9/7/2007,2.6802
8/31/2007,-1.3607
8/24/2007,-1.9544
8/17/2007,6.7177
8/10/2007,6.9374
8/3/2007,7.7297
7/27/2007,8.6301
7/20/2007,3.9483
7/13/2007,0.8522
7/6/2007,2.1438
6/29/2007,3.7854
6/22/2007,3.2147
6/15/2007,1.7873
6/8/2007,3.7533
6/1/2007,3.948
5/25/2007,4.4155
5/18/2007,3.7059
5/11/2007,4.1072
5/4/2007,4.8924
4/27/2007,3.3582
4/20/2007,0.8052
4/13/2007,0.0875
4/6/2007,-3.3824
3/30/2007,-1.6956
3/23/2007,-3.4681
3/16/2007,1.7133
3/9/2007,0.0865
3/2/2007,5.1713
2/23/2007,3.1976
2/16/2007,2.621
2/9/2007,3.9031
2/2/2007,2.5688
1/26/2007,3.6779
1/19/2007,4.4529
1/12/2007,3.669
1/5/2007,4.0874
12/29/2006,3.7492
12/22/2006,3.8063
12/15/2006,2.1622
12/8/2006,4.0246
12/1/2006,3.4085
11/24/2006,4.2178
11/17/2006,3.1283
11/10/2006,3.2085
11/3/2006,4.0364
10/27/2006,3.3446
10/20/2006,3.4735
10/13/2006,2.6747
10/6/2006,3.7552
9/29/2006,4.7622
9/22/2006,4.7996
9/15/2006,3.8413
9/8/2006,5.5163
9/1/2006,4.1975
8/25/2006,1.3318
8/18/2006,-0.7171
8/11/2006,2.1976
8/4/2006,0.4685
7/28/2006,-0.0562
7/21/2006,2.1066
7/14/2006,3.1832
7/7/2006,-1.6008
6/30/2006,-2.4887
6/23/2006,1.188
6/16/2006,2.4747
6/9/2006,5.0853
6/2/2006,2.3001
5/26/2006,2.8903
5/19/2006,6.4056
5/12/2006,4.1715
5/5/2006,2.5129
4/28/2006,2.9788
4/21/2006,2.6219
4/14/2006,4.2677
4/7/2006,3.494
3/31/2006,3.0575
3/24/2006,2.6763
3/17/2006,3.3121
3/10/2006,2.8499
3/3/2006,3.085
2/24/2006,1.4912
2/17/2006,2.1225
2/10/2006,2.0474
2/3/2006,2.2482
1/27/2006,1.6287
1/20/2006,4.5081
1/13/2006,3.1206
1/6/2006,1.8151
12/30/2005,4.3954
12/23/2005,2.8725
12/16/2005,3.1781
12/9/2005,3.6735
12/2/2005,0.246
11/25/2005,-1.1806
11/18/2005,-1.3433
11/11/2005,-2.1319
11/4/2005,-0.5384
10/28/2005,0.6937
10/21/2005,4.7174
10/14/2005,4.5585
10/7/2005,4.226
9/30/2005,2.7909
9/23/2005,3.4966
9/16/2005,1.9919
9/9/2005,2.6029
9/2/2005,4.8479
8/26/2005,4.9972
8/19/2005,4.9596
8/12/2005,3.5096
8/5/2005,3.2338
7/29/2005,2.1314
7/22/2005,1.5719
7/15/2005,2.0649
7/8/2005,2.4566
7/1/2005,3.6069
6/24/2005,3.8431
6/17/2005,2.6053
6/10/2005,2.3959
6/3/2005,0.8205
5/27/2005,-0.8966
5/20/2005,-1.7819
5/13/2005,1.8788
5/6/2005,-0.4267
4/29/2005,1.069
4/22/2005,2.2053
4/15/2005,6.681
4/8/2005,2.696
4/1/2005,3.026
3/25/2005,3.0893
3/18/2005,2.9266
3/11/2005,2.217
3/4/2005,2.2147
2/25/2005,0.8531
2/18/2005,1.6017
2/11/2005,1.0994
2/4/2005,1.198
1/28/2005,3.8541
1/21/2005,4.688
1/14/2005,3.2428
1/7/2005,3.9321
12/31/2004,4.0934
12/24/2004,1.6344
12/17/2004,2.332
12/10/2004,2.3553
12/3/2004,2.2978
11/26/2004,1.82
11/19/2004,1.7055
11/12/2004,1.5708
11/5/2004,1.7682
10/29/2004,4.1816
10/22/2004,4.4062
10/15/2004,4.6095
10/8/2004,4.3917
10/1/2004,2.8227
9/24/2004,4.1123
9/17/2004,4.028
9/10/2004,1.3005
9/3/2004,1.4003
8/27/2004,1.7155
8/20/2004,3.107
8/13/2004,6.3888
8/6/2004,8.6201
7/30/2004,6.0994
7/23/2004,7.3816
7/16/2004,4.6112
7/9/2004,5.8103
7/2/2004,4.6992
6/25/2004,4.7211
6/18/2004,3.4585
6/11/2004,3.4069
6/4/2004,5.4863
5/28/2004,2.746
5/21/2004,6.2556
5/14/2004,6.3598
5/7/2004,5.4023
4/30/2004,4.04
4/23/2004,0.2294
4/16/2004,0.3845
4/9/2004,1.994
4/2/2004,1.6617
3/26/2004,3.9509
3/19/2004,6.6114
3/12/2004,6.6634
3/5/2004,3.8949
2/27/2004,4.0529
2/20/2004,4.7992
2/13/2004,4.2917
2/6/2004,4.9505
1/30/2004,6.0007
1/23/2004,5.896
1/16/2004,5.2265
1/9/2004,6.9048
1/2/2004,8.0122
12/26/2003,6.4994
12/19/2003,4.8976
12/12/2003,5.0693
12/5/2003,5.8938
11/28/2003,4.7538
11/21/2003,7.9677
11/14/2003,6.5566
11/7/2003,4.7885
10/31/2003,2.2549
10/24/2003,2.7742
10/17/2003,2.7562
10/10/2003,3.1676
10/3/2003,4.3262
9/26/2003,8.791
9/19/2003,6.2911
9/12/2003,7.2295
9/5/2003,7.2917
8/29/2003,7.0306
8/22/2003,5.045
8/15/2003,4.2926
8/8/2003,4.2329
8/1/2003,5.1435
7/25/2003,0.5596
7/18/2003,2.3621
7/11/2003,2.1112
7/4/2003,3.4032
6/27/2003,1.6733
6/20/2003,2.6042
6/13/2003,4.9886
6/6/2003,5.944
5/30/2003,2.367
5/23/2003,1.4986
5/16/2003,2.0333
5/9/2003,0.9661
5/2/2003,-0.9605
4/25/2003,-3.0946
4/18/2003,-4.4977
4/11/2003,-1.2443
4/4/2003,3.2037
3/28/2003,1.9505
3/21/2003,4.591
3/14/2003,9.4287
3/7/2003,11.2505
2/28/2003,7.9873
2/21/2003,9.7089
2/14/2003,11.087
2/7/2003,11.0385
1/31/2003,8.2457
1/24/2003,9.0599
1/17/2003,4.3673
1/10/2003,3.1537
1/3/2003,2.2852
12/27/2002,8.4135
12/20/2002,3.8386
12/13/2002,5.7053
12/6/2002,7.0968
11/29/2002,4.7683
